Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,US
Buick Skylark 320,15,8,350,165,3693,11.5,70,US
Plymouth Satellite,18,8,318,150,3436,11,70,US
AMC Rebel SST,16,8,304,150,3433,12,70,US
Ford Torino,17,8,302,140,3449,10.5,70,US
Ford Galaxie 500,15,8,429,198,4341,10,70,US
Chevrolet Impala,14,8,454,220,4354,9,70,US
Plymouth Fury iii,14,8,440,215,4312,8.5,70,US
Pontiac Catalina,14,8,455,225,4425,10,70,US
AMC Ambassador DPL,15,8,390,190,3850,8.5,70,US
Citroen DS-21 Pallas,0,4,133,115,3090,17.5,70,Europe
Chevrolet Chevelle Concours (sw),0,8,350,165,4142,11.5,70,US
Ford Torino (sw),0,8,351,153,4034,11,70,US
Plymouth Satellite (sw),0,8,383,175,4166,10.5,70,US
AMC Rebel SST (sw),0,8,360,175,3850,11,70,US
Dodge Challenger SE,15,8,383,170,3563,10,70,US
Plymouth 'Cuda 340,14,8,340,160,3609,8,70,US
Ford Mustang Boss 302,0,8,302,140,3353,8,70,US
Chevrolet Monte Carlo,15,8,400,150,3761,9.5,70,US
Buick Estate Wagon (sw),14,8,455,225,3086,10,70,US
Plymouth Duster,22,6,198,95,2833,15.5,70,US
AMC Hornet,18,6,199,97,2774,15.5,70,US
Ford Maverick,21,6,200,85,2587,16,70,US
Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,20.5,70,Europe
Peugeot 504,25,4,110,87,2672,17.5,70,Europe
Audi 100 LS,24,4,107,90,2430,14.5,70,Europe
Saab 99e,25,4,104,95,2375,17.5,70,Europe
BMW 2002,26,4,121,113,2234,12.5,70,Europe
AMC Gremlin,21,6,199,90,2648,15,70,US
Ford F250,10,8,360,215,4615,14,70,US
Chevy C20,10,8,307,200,4376,15,70,US
Dodge D200,11,8,318,210,4382,13.5,70,US
Hi 1200D,9,8,304,193,4732,18.5,70,US
Chevrolet Vega 2300,28,4,140,90,2264,15.5,71,US
Ford Pinto,25,4,98,0,2046,19,71,US
Volkswagen Super Beetle 117,0,4,97,48,1978,20,71,Europe
AMC Gremlin,19,6,232,100,2634,13,71,US
Plymouth Satellite Custom,16,6,225,105,3439,15.5,71,US
Chevrolet Chevelle Malibu,17,6,250,100,3329,15.5,71,US
Opel 1900,28,4,116,90,2123,14,71,Europe
Peugeot 304,30,4,79,70,2074,19.5,71,Europe
Fiat 124B,30,4,88,76,2065,14.5,71,Europe
Volkswagen Model 111,27,4,97,60,1834,19,71,Europe
Volkswagen Type 3,23,4,97,54,2254,23.5,72,Europe
Volvo 145e (sw),18,4,121,112,2933,14.5,72,Europe
Volkswagen 411 (sw),22,4,121,76,2511,18,72,Europe
Peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe
Renault 12 (sw),26,4,96,69,2189,18,72,Europe
Volkswagen Super Beetle,26,4,97,46,1950,21,73,Europe
Fiat 124 Sport Coupe,26,4,98,90,2265,15.5,73,Europe
Fiat 128,29,4,68,49,1867,19.5,73,Europe
Opel Manta,24,4,116,75,2158,15.5,73,Europe
